Bottom,Top,Point,Outer
Pants,Dress_Shirt,10,No
Pants,Casual_Button_Down_Shirt,5,No
Pants,Polo,10,No
Jeans,Casual_Button_Down_Shirt,5,No
Jeans,Polo,8,No
Jeans,T_Shirt_Short_Sleeve,10,No
Jeans,T_Shirt_Long_Sleeve,10,No
Shorts,Casual_Button_Down_Shirt,3,No
Shorts,Polo,3,No
Shorts,T_Shirt_Short_Sleeve,10,No
Shorts,T_Shirt_Long_Sleeve,5,No
